iter	Passed	Remaining
919	1612	140
920	1614	138
921	1615	136
922	1617	134
923	1618	133
924	1620	131
925	1622	129
926	1623	127
927	1625	126
928	1627	124
929	1628	122
930	1629	120
931	1631	119
932	1633	117
933	1634	115
934	1636	113
935	1638	112
936	1639	110
937	1641	108
938	1642	106
939	1644	104
940	1645	103
941	1647	101
942	1648	99
943	1650	97
944	1652	96
945	1654	94
946	1656	92
947	1657	90
948	1659	89
949	1660	87
950	1662	85
951	1663	83
952	1665	82
953	1667	80
954	1669	78
955	1670	76
956	1671	75
957	1673	73
958	1674	71
959	1676	69
960	1677	68
961	1679	66
962	1681	64
963	1683	62
964	1684	61
965	1686	59
966	1687	57
967	1689	55
968	1690	54
969	1692	52
970	1693	50
971	1695	48
972	1697	47
973	1699	45
974	1700	43
975	1702	41
976	1703	40
977	1705	38
978	1706	36
979	1708	34
980	1710	33
981	1711	31
982	1713	29
983	1715	27
984	1717	26
985	1718	24
986	1719	22
987	1721	20
988	1722	19
989	1724	17
990	1726	15
991	1728	13
992	1730	12
993	1731	10
994	1733	8
995	1734	6
996	1735	5
997	1737	3
998	1738	1
999	1740	0
